oslaua,la_name,charity_count_local,charitable_spending_local,Pct_Leave,population,perhead_charity_count,perhead_charity_count_local,perhead_charitable_spending_local,IMD_average_score,IMD_extent,IMD_concentration,public_ core_spend_m,public_ core_spend_m_rank,public_core_spend_per_head,public_core_spend_per_head_rank,threesixty_total_amount,threesixty_blf,threesixty_blf_amount,threesixty_charity,threesixty_charity_amount,threesixty_national,threesixty_national_amount,threesixty_total,threesixty_total_amount
E07000196,South Staffordshire,155,6.985005197,64.85,110726,0.002059137,0.001399852,63.08369486,12.453,0.0162,23675.53,8.820536217,27,79.66093074,1,97691,18,1505941,18,1255416,26,1930349,38,2046931
E07000181,West Oxfordshire,369,14.95291366,46.34,108611,0.004566757,0.003397446,137.6740262,8.124,0,18522.08,8.751675754,24,80.57817122,2,1710133,30,1378106,34,1553545,45,2070586,56,2257316
E07000143,Breckland,411,14.27931766,64.22,135480,0.003572483,0.003033658,105.3979751,19.789,0.0918,28134.2,11.58167802,85,85.48625642,3,622637,29,641728,18,617460,36,1060170,42,1152520
E07000144,Broadland,319,12.54095012,54.37,126628,0.00301671,0.00251919,99.03773352,11.065,0,18734.92,11.12698349,73,87.87143041,4,428255,41,2223163,28,2647857,50,3009063,59,3174880.9
E07000164,Hambleton,338,12.36259064,53.66,90035,0.004376076,0.003754096,137.3087204,12.67,0.0099,22828.33,7.984304163,18,88.68000403,5,981940,7,32302,18,689009,22,971198,42,1370403
E07000084,Basingstoke and Deane,333,24.65401063,51.9,173856,0.002680379,0.001915378,141.8070738,11.496,0.0113,23431.63,16.20091875,169,93.18584777,6,578470,18,687184,9,80286,24,750074,25,759074
E07000087,Fareham,160,13.36159675,55.1,114799,0.001907682,0.00139374,116.3912295,8.454,0.0073,20738.83,10.75350808,65,93.67248913,7,1173530,30,786875,9,758094,34,1045948,34,1045948
E07000086,Eastleigh,185,10.31697384,52.45,129027,0.002092585,0.001433808,79.95980562,10.015,0.0097,22692.97,12.09154262,93,93.71327412,8,352334,43,1535411,22,2005636,59,2880935,60,3070935
E07000132,Hinckley and Bosworth,141,5.16131049,60.33,108769,0.001875534,0.001296325,47.45203587,12.782,0.0259,24388.67,10.2141911,51,93.90718955,9,2894765,35,1435168,17,1072979,43,2032369,46,2111369
E07000095,Broxbourne,97,4.79128721,66.26,96217,0.001465438,0.001008138,49.79668052,17.294,0.0707,26756.38,9.049393794,29,94.05192216,10,4095346,76,2832130,39,3289833,102,4967273,105,5501833
E07000172,Broxtowe,133,7.466379621,54.65,112253,0.001710422,0.001184824,66.51385371,14.306,0.0499,26244.12,10.81776433,67,96.36948972,11,2156641,56,1995193,20,977184,67,2307269,69,2325269
E07000179,South Oxfordshire,397,29.95468126,45.02,137412,0.004693913,0.002889122,217.9917421,8.56,0.0012,19075.38,13.26881503,121,96.5622728,12,2925739,53,1957636,25,1966927,59,2193320,62,2369320
E07000197,Stafford,283,37.40587839,55.99,132488,0.002732323,0.002136043,282.334086,13.492,0.0612,26776.62,12.86236656,114,97.08325705,13,534936,20,709936,8,650170,24,806134,24,806134
E07000180,Vale of White Horse,429,86.76615158,43.3,126663,0.004815929,0.00338694,685.0157629,8.457,0.0067,16917.06,12.33250762,99,97.36472072,14,389687,35,2262979,35,2654002,50,3002491,56,3079143
E07000130,Charnwood,251,29.11760839,53.81,176720,0.00216727,0.001420326,164.7669103,13.729,0.0489,26369.22,17.27641345,177,97.76150662,15,439821,39,2076345,35,2702762,63,3611932,66,3683932
E07000176,Rushcliffe,219,12.90205728,42.45,114474,0.00258574,0.001913098,112.7073159,7.702,0,17477.97,11.20115294,77,97.84888219,16,2759532,58,1739730,43,2288825,86,4143239,89,4560239
E07000129,Blaby,114,4.158066694,59.47,96544,0.001791929,0.001180809,43.06913629,10.374,0,19225.59,9.460395473,35,97.99050664,17,1209137,8,61068,4,24788,8,61068,8,61068
E07000034,Chesterfield,145,13.37617343,60.04,104407,0.001685711,0.001388796,128.1156764,25.32,0.2714,30801.87,10.27563113,55,98.41898656,18,1427979,86,5147786,59,4426372,121,8551111,126,8934604
E07000032,Amber Valley,197,21.12264469,60.28,124069,0.002240689,0.001587826,170.2491734,18.116,0.1023,28599.07,12.39185328,102,99.87872297,19,20694169,45,1897263,31,2598810,69,3457440,72,3577440
E07000199,Tamworth,60,2.499566214,67.47,77141,0.001166695,0.000777797,32.40256432,20.251,0.1616,29927.65,7.707094265,13,99.90918273,20,1450498,17,913169,8,842890,18,921773,20,943273
E07000007,Wycombe,368,47.08448026,48.03,176028,0.002999523,0.002090576,267.4829019,10.106,0.006,21525.06,17.59845595,179,99.97532182,21,3070935,44,1658085,21,1619472,53,2026531,53,2026531
E07000209,Guildford,330,84.96678694,43.83,146080,0.003340635,0.002259036,581.6455842,9.392,0.0119,21816.34,14.84950721,153,101.6532531,22,2111369,24,1245572,35,2388012,42,2566356,58,2759532
E07000116,Tunbridge Wells,275,74.70544327,45.11,116241,0.00372502,0.002365775,642.6772246,10.975,0.0151,21891.6,11.85172287,90,101.9581978,23,124099,73,11558967,121,16806090,144,18094993,181,18585050
E07000083,Tewkesbury,213,14.74865431,53.25,86890,0.002957763,0.002451375,169.7393752,12.08,0.0233,23642.14,8.860041582,28,101.9684841,24,4164022,18,752423,12,817512,27,1049569,31,1076569
E07000238,Wychavon,323,14.54298638,57.86,121520,0.003563199,0.002657999,119.6756615,16.001,0.0407,25472.36,12.42541985,105,102.2499988,25,126231,17,199697,17,315833,33,784639,41,887269
E07000177,Cherwell,289,39.34722859,50.31,145550,0.002761937,0.001985572,270.3347894,12.611,0.034,24992.8,14.92685547,156,102.5548297,26,1526600,41,3003932,27,2514823,66,4417869,68,4502034
E07000194,Lichfield,179,16.08348293,58.81,102706,0.002473078,0.001742839,156.5973062,12.709,0.0351,24985.25,10.538097,62,102.6044924,27,191333,14,1263297,8,1203153,22,1397976,25,1870630
E07000012,South Cambridgeshire,506,194.9781651,39.77,154888,0.004286969,0.003266877,1258.833254,8.053,0,15916,15.92775349,168,102.8340058,28,11066992,12,1030445,17,1361866,26,1467843,28,1526600
E07000204,St Edmundsbury,255,17.82424783,56.62,112523,0.002781654,0.002266203,158.4053734,15.271,0.0188,23760.93,11.60729196,87,103.1548391,29,174542,13,846297,12,964194,16,886480,21,2117208
E07000040,East Devon,454,18.47181164,54.11,138141,0.004032112,0.003286497,133.7170836,12.698,0.0096,22506.86,14.2674266,144,103.2816224,30,1133684,15,729723,52,1457258.45,31,1603848,66,1784634.45
E07000198,Staffordshire Moorlands,182,4.998344552,64.73,97881,0.002370225,0.001859401,51.06552397,15.217,0.0507,25986.66,10.15074974,47,103.7050065,31,9386476,40,862249,30,1216921,47,1079642,54,1466033
E07000156,Wellingborough,139,16.71810235,62.42,77184,0.002215485,0.001800891,216.6006212,21.742,0.2144,30558.48,8.020879967,19,103.9189465,32,840332,34,1375823,20,1431137,53,2237045,53,2237045
E07000089,Hart,171,13.42174126,47.6,93912,0.002736604,0.001820854,142.9182773,5.009,0,11928.88,9.783818753,41,104.1807091,33,6736376,13,1534655,13,1576212,20,1910869,21,2160869
E07000038,North East Derbyshire,147,16.71115798,62.78,99639,0.00183663,0.001475326,167.7170383,16.843,0.0875,27815.34,10.39627353,59,104.3394005,34,18585050,12,834815,6,922179,21,1213461,21,1213461
